ID_Cliente,grupo_edad,region,nivel_ingresos,horas_conectado,clics_en_productos,uso_cupones,compra_realizada,total_compra
CL00064,26-35,Huancavelica,medio,2.93,4,3,0,0.0
CL00065,26-35,Ica,bajo,3.59,5,4,0,0.0
CL00066,46-60,Lima,medio,0.32,9,2,0,0.0
CL00067,26-35,Moquegua,bajo,2.21,3,0,0,0.0
CL00068,26-35,Madre de Dios,medio,2.63,4,3,1,403.24
CL00069,46-60,Lima,bajo,3.8,7,2,1,449.31
CL00070,46-60,Pasco,bajo,1.66,3,2,1,164.15
CL00071,18-25,Lambayeque,medio,2.16,2,0,0,0.0
CL00072,60+,Arequipa,medio,2.64,3,0,0,0.0
CL00073,60+,Lima,medio,3.26,5,2,1,555.85
CL00074,26-35,Tumbes,medio,1.39,4,2,1,429.99
CL00075,60+,Pasco,medio,3.31,4,1,1,314.87
CL00076,26-35,Lima,medio,1.91,7,4,1,886.3
CL00077,18-25,Lima,medio,2.88,7,2,0,0.0
CL00078,46-60,Tacna,medio,2.31,5,1,1,987.79
CL00079,46-60,Lambayeque,medio,2.77,5,0,1,780.05
CL00080,46-60,Ica,medio,2.71,1,1,0,0.0
CL00081,60+,Ucayali,medio,3.78,4,4,0,0.0
CL00082,18-25,Puno,medio,2.26,5,0,1,613.38
CL00083,60+,Ica,medio,2.2,6,4,0,0.0
CL00084,60+,Lima,alto,3.57,7,0,0,0.0
CL00085,18-25,Lambayeque,medio,3.9,4,4,1,814.31
CL00086,18-25,Ayacucho,medio,2.1,5,4,0,0.0
CL00087,18-25,Tumbes,medio,3.19,4,1,0,0.0
CL00088,18-25,La Libertad,bajo,1.65,5,0,1,217.06
CL00089,46-60,San Martín,medio,3.2,3,2,1,811.16
CL00090,36-45,Callao,medio,3.42,2,0,1,728.65
CL00091,36-45,Lima,bajo,2.22,3,3,0,0.0
CL00092,18-25,Amazonas,medio,3.61,9,4,0,0.0
CL00093,36-45,Moquegua,medio,2.24,7,4,1,298.41
CL00094,36-45,Lima,alto,2.52,5,4,1,1463.6
CL00095,18-25,Lima,alto,2.89,6,0,1,1502.62
CL00096,36-45,Áncash,bajo,1.54,6,3,1,590.95
CL00097,60+,Callao,medio,1.14,4,3,1,418.83
CL00098,26-35,Apurímac,bajo,2.78,4,1,0,0.0
CL00099,26-35,Huánuco,bajo,1.76,2,3,0,0.0
CL00100,18-25,Lima,medio,1.28,7,2,0,0.0
CL00101,46-60,Lima,bajo,3.27,7,4,1,960.69
CL00102,18-25,Lima,bajo,4.02,4,4,1,825.37
CL00103,46-60,Lima,alto,3.36,4,1,0,0.0
CL00104,26-35,Huancavelica,alto,1.32,5,0,0,0.0
CL00105,18-25,Cusco,medio,2.68,6,3,1,420.22
CL00106,60+,Ayacucho,alto,2.19,4,2,0,0.0
CL00107,36-45,Puno,medio,1.65,5,2,1,658.94
CL00108,46-60,Lima,bajo,2.59,6,4,1,340.18
CL00109,36-45,Cajamarca,medio,2.43,5,4,0,0.0
CL00110,36-45,Cajamarca,medio,2.27,4,3,1,838.54
CL00111,18-25,Puno,medio,3.49,9,1,1,1205.02
CL00112,36-45,Madre de Dios,alto,3.8,5,4,1,1071.09
CL00113,60+,Lima,medio,2.18,8,2,0,0.0
CL00114,36-45,Lambayeque,bajo,2.32,7,1,1,174.3
CL00115,18-25,Huancavelica,bajo,2.25,6,1,0,0.0
CL00116,60+,Ucayali,bajo,3.01,5,1,1,789.77
CL00117,26-35,Pasco,alto,2.83,12,2,1,1606.94
CL00118,36-45,Huánuco,medio,1.79,6,3,1,1129.88
CL00119,18-25,Puno,medio,2.37,3,1,0,0.0
CL00120,26-35,Moquegua,medio,1.0,4,4,0,0.0
CL00121,26-35,Huánuco,medio,0.93,11,4,1,821.43
CL00122,46-60,Lambayeque,medio,1.32,2,2,0,0.0
CL00123,60+,Cajamarca,medio,2.25,4,3,0,0.0
CL00124,36-45,Arequipa,alto,3.11,4,0,0,0.0
CL00125,18-25,Madre de Dios,alto,1.72,7,3,1,1807.55
CL00126,46-60,Huancavelica,alto,2.37,6,4,1,1524.45
CL00127,60+,Piura,medio,2.72,4,4,1,1009.7
CL00128,46-60,Ucayali,alto,4.04,10,2,1,857.64
CL00129,60+,Apurímac,medio,2.56,1,1,1,789.43
CL00130,60+,Lima,alto,2.6,3,3,0,0.0
CL00131,36-45,Pasco,alto,1.89,6,4,1,1664.72
CL00132,60+,Pasco,alto,4.34,5,3,0,0.0
CL00133,46-60,Moquegua,alto,3.26,6,0,0,0.0
CL00134,60+,Junín,medio,1.39,6,4,0,0.0
CL00135,36-45,Lima,bajo,4.0,2,4,1,369.31
CL00136,36-45,Lima,medio,3.22,8,3,1,879.65
CL00137,46-60,Ucayali,medio,2.73,8,2,0,0.0
CL00138,26-35,Ica,bajo,3.16,0,0,0,0.0
CL00139,26-35,Tacna,medio,3.64,6,4,1,1227.81
CL00140,60+,Huancavelica,medio,1.75,2,4,0,0.0
CL00141,18-25,Ucayali,medio,2.11,5,4,1,1085.71
CL00142,60+,Lima,alto,2.46,4,4,1,1495.53
CL00143,46-60,Lima,medio,1.26,5,1,0,0.0
CL00144,46-60,Lima,medio,3.23,3,0,0,0.0
CL00145,46-60,Huancavelica,medio,2.22,3,0,0,0.0
CL00146,46-60,Huancavelica,alto,2.11,5,1,1,597.48
CL00147,46-60,Arequipa,bajo,1.86,8,0,0,0.0
CL00148,36-45,Arequipa,bajo,2.47,5,3,1,534.25
CL00149,26-35,Junín,alto,2.66,1,1,0,0.0
CL00150,46-60,Moquegua,medio,3.5,2,1,0,0.0
CL00151,18-25,Lima,medio,3.52,3,1,1,692.38
CL00152,18-25,Arequipa,medio,1.37,4,4,0,0.0
CL00153,18-25,Puno,medio,2.96,7,0,0,0.0
CL00154,18-25,Lima,medio,3.73,4,3,1,906.26
CL00155,36-45,Tumbes,bajo,2.28,4,1,1,396.48
CL00156,18-25,Lima,medio,2.33,6,2,0,0.0
CL00157,46-60,Cajamarca,medio,2.1,7,3,0,0.0
CL00158,60+,Lima,medio,3.04,6,2,1,732.74
CL00159,18-25,Lima,medio,2.79,6,1,0,0.0
CL00160,36-45,Amazonas,alto,3.48,8,2,0,0.0
CL00161,36-45,Amazonas,medio,2.39,3,1,1,191.85
CL00162,18-25,Ayacucho,alto,3.76,7,4,1,334.38
CL00163,60+,Huancavelica,medio,3.1,5,3,0,0.0
CL00164,18-25,Lambayeque,medio,3.68,4,1,1,375.33
CL00165,36-45,Lima,bajo,1.9,4,3,1,759.27
CL00166,26-35,Ayacucho,bajo,4.07,1,0,0,0.0
CL00167,46-60,Lima,medio,1.94,4,1,0,0.0
CL00168,36-45,Lima,medio,1.99,6,4,0,0.0
CL00169,18-25,Huánuco,medio,2.11,9,4,0,0.0
CL00170,46-60,Amazonas,medio,2.0,5,4,1,507.28
CL00171,18-25,Apurímac,alto,4.39,2,0,1,297.07
CL00172,18-25,La Libertad,alto,3.02,4,1,0,0.0
CL00173,26-35,Ayacucho,bajo,3.0,5,2,0,0.0
CL00174,46-60,La Libertad,medio,0.61,7,2,0,0.0
CL00175,46-60,Lima,medio,3.79,3,3,1,843.91
CL00176,26-35,Lima,medio,1.46,2,4,0,0.0
CL00177,36-45,Cusco,bajo,2.46,6,4,1,622.72
CL00178,18-25,Junín,alto,1.8,4,2,0,0.0
CL00179,60+,Lima,alto,2.74,6,0,1,1795.48
CL00180,18-25,Puno,medio,4.03,7,1,0,0.0
CL00181,18-25,Moquegua,medio,1.54,5,2,0,0.0
CL00182,36-45,Lima,medio,1.78,8,3,0,0.0
CL00183,18-25,Junín,medio,2.64,1,1,0,0.0
CL00184,26-35,Junín,medio,4.07,2,2,0,0.0
CL00185,26-35,San Martín,medio,2.08,6,2,0,0.0
CL00186,46-60,Áncash,bajo,1.78,2,3,0,0.0
CL00187,60+,Ucayali,alto,2.66,5,2,0,0.0
CL00188,18-25,Lima,medio,2.51,7,2,1,966.08
CL00189,18-25,Lima,medio,1.48,5,3,1,264.79
CL00190,36-45,Áncash,alto,2.09,2,3,1,1560.7
CL00191,26-35,Lima,bajo,0.53,7,4,1,639.75
CL00192,60+,Lima,bajo,2.47,4,2,0,0.0
CL00193,46-60,Arequipa,alto,1.25,6,4,1,887.14
CL00194,26-35,Huancavelica,alto,4.97,4,3,1,1618.69
CL00195,46-60,San Martín,medio,3.05,8,2,1,1152.92
CL00196,36-45,Lima,bajo,2.75,4,2,0,0.0
CL00197,36-45,Lambayeque,medio,3.03,6,1,1,513.12
CL00198,18-25,Apurímac,bajo,2.01,2,0,0,0.0
CL00199,60+,Loreto,medio,2.36,8,2,0,0.0
CL00200,46-60,Loreto,bajo,3.01,5,3,0,0.0
CL00201,26-35,Lima,alto,1.52,5,4,0,0.0
CL00202,36-45,Lima,medio,3.18,5,1,0,0.0
CL00203,18-25,Lambayeque,alto,4.61,3,2,1,1452.5
CL00204,18-25,Lima,bajo,1.02,5,4,1,601.63
CL00205,46-60,Cusco,medio,3.03,7,1,0,0.0
CL00206,36-45,Tumbes,alto,1.68,4,3,1,353.26
CL00207,60+,Lima,bajo,3.19,3,0,1,787.06
CL00208,36-45,Huánuco,medio,2.84,8,3,0,0.0
CL00209,46-60,Lima,medio,4.38,2,3,0,0.0
CL00210,46-60,Pasco,medio,4.2,4,0,0,0.0
CL00211,36-45,Cajamarca,bajo,1.05,7,0,0,0.0
CL00212,46-60,Huánuco,medio,3.26,6,2,1,1097.72
CL00213,36-45,Lima,medio,3.25,6,2,1,980.7
CL00214,26-35,Ica,medio,3.69,4,0,0,0.0
CL00215,36-45,Pasco,bajo,2.97,3,0,1,698.08
CL00216,36-45,Ayacucho,medio,3.1,4,2,1,799.26
CL00217,46-60,Moquegua,medio,1.47,5,0,0,0.0
CL00218,46-60,Apurímac,bajo,2.92,2,2,1,535.42
CL00219,18-25,Amazonas,medio,2.28,5,3,1,970.65
CL00220,18-25,San Martín,alto,3.18,9,4,1,426.44
CL00221,26-35,Lima,bajo,2.41,6,0,1,103.97
CL00222,18-25,Junín,medio,2.95,2,3,0,0.0
CL00223,36-45,Cusco,medio,3.12,5,2,0,0.0
CL00224,46-60,Lima,bajo,3.13,1,2,1,316.9
CL00225,18-25,Lima,bajo,1.76,6,0,1,105.53
CL00226,18-25,Ucayali,medio,4.92,6,0,1,655.36
CL00227,26-35,Ucayali,medio,2.75,4,4,1,787.27
CL00228,26-35,Lima,bajo,3.13,8,3,0,0.0
CL00229,36-45,Lima,alto,2.56,6,3,1,1255.61
CL00230,46-60,Lima,medio,1.39,6,3,0,0.0
CL00231,26-35,Lima,medio,3.28,5,1,0,0.0
CL00232,18-25,Arequipa,medio,2.77,4,4,1,1063.52
CL00233,46-60,Ica,alto,3.39,4,4,1,1797.0
CL00234,46-60,Apurímac,bajo,1.84,4,2,0,0.0
CL00235,18-25,Apurímac,medio,2.17,7,0,0,0.0
CL00236,26-35,Callao,medio,2.77,2,2,0,0.0
CL00237,18-25,Lima,bajo,2.55,7,2,1,913.49
CL00238,46-60,Pasco,bajo,2.21,8,2,0,0.0
CL00239,60+,Lima,bajo,2.77,4,4,1,109.11
CL00240,60+,Ica,medio,3.93,2,3,0,0.0
CL00241,36-45,Apurímac,bajo,2.96,10,4,0,0.0
CL00242,18-25,Lima,alto,3.67,5,2,1,1028.73
CL00243,18-25,Huancavelica,alto,2.33,3,4,0,0.0
CL00244,36-45,Lima,bajo,2.55,3,4,0,0.0
CL00245,36-45,Ucayali,medio,2.74,5,4,1,557.94
CL00246,36-45,Arequipa,bajo,2.06,2,1,1,168.23
CL00247,46-60,Callao,bajo,2.75,4,4,0,0.0
CL00248,18-25,Lima,medio,4.07,2,1,1,476.42
CL00249,46-60,Tumbes,medio,4.24,4,3,0,0.0
CL00250,36-45,Moquegua,alto,3.88,4,1,1,495.5
CL00251,18-25,San Martín,medio,2.81,6,1,1,1122.27
CL00252,46-60,Ica,medio,1.78,6,3,1,1181.37
CL00253,46-60,Ucayali,bajo,4.95,5,2,1,883.03
CL00254,36-45,Arequipa,bajo,1.99,3,2,0,0.0
CL00255,18-25,Áncash,alto,4.02,14,0,1,240.25
CL00256,36-45,Puno,bajo,2.87,6,2,0,0.0
CL00257,18-25,Tacna,alto,1.47,6,3,1,1678.17
CL00258,60+,Apurímac,bajo,1.02,4,2,1,946.62
CL00259,26-35,Arequipa,medio,3.89,6,0,0,0.0
CL00260,26-35,Áncash,alto,1.93,6,4,1,1718.13
CL00261,26-35,Arequipa,bajo,1.24,6,1,1,680.41
CL00262,36-45,Callao,medio,2.23,11,0,0,0.0
CL00263,60+,Ucayali,medio,2.49,4,1,0,0.0
CL00264,18-25,Lima,bajo,2.87,6,2,1,969.84
CL00265,46-60,Moquegua,medio,2.82,3,0,1,925.73
CL00266,18-25,Moquegua,bajo,1.77,1,2,1,907.65
CL00267,46-60,Lima,bajo,2.5,11,1,1,543.85
CL00268,18-25,Pasco,bajo,4.22,6,0,0,0.0
CL00269,60+,Lima,alto,1.45,4,0,0,0.0
CL00270,46-60,Ica,bajo,2.97,2,4,0,0.0
CL00271,36-45,Lima,bajo,1.45,5,1,1,753.91
CL00272,18-25,Lima,medio,2.09,6,4,1,516.12
CL00273,18-25,Piura,medio,3.63,7,2,1,913.48
CL00274,46-60,Ucayali,medio,0.47,10,0,0,0.0
CL00275,36-45,Lambayeque,bajo,4.6,3,1,0,0.0
CL00276,36-45,Moquegua,medio,1.21,6,2,1,1060.08
CL00277,60+,Arequipa,medio,0.49,5,0,1,165.36
CL00278,36-45,Moquegua,medio,2.52,5,3,0,0.0
CL00279,36-45,Junín,bajo,2.07,4,0,0,0.0
CL00280,36-45,Áncash,medio,1.88,7,1,1,413.85
CL00281,26-35,Junín,medio,3.14,8,4,0,0.0
CL00282,60+,Lima,medio,1.57,5,4,0,0.0
CL00283,18-25,Arequipa,bajo,3.07,4,1,0,0.0
CL00284,46-60,Tacna,bajo,3.33,3,3,1,428.5
CL00285,18-25,Apurímac,medio,1.13,3,3,0,0.0
CL00286,60+,Tacna,alto,3.53,3,2,1,1112.81
CL00287,46-60,Loreto,bajo,3.27,7,2,0,0.0
CL00288,60+,Ica,medio,4.05,2,0,1,954.38
CL00289,36-45,La Libertad,bajo,2.51,6,2,0,0.0
CL00290,46-60,Madre de Dios,medio,1.67,3,3,1,198.82
CL00291,36-45,Lima,medio,3.75,9,3,1,269.18
CL00292,18-25,Lima,alto,2.55,8,4,1,918.36
CL00293,18-25,La Libertad,bajo,4.32,4,2,1,400.24
CL00294,46-60,Lima,medio,3.21,5,1,0,0.0
CL00295,46-60,Ucayali,medio,2.47,4,1,0,0.0
CL00296,60+,Callao,alto,1.62,3,3,1,472.41
CL00297,60+,Lambayeque,medio,2.4,3,3,1,1054.48
CL00298,36-45,Huánuco,bajo,3.44,4,4,1,314.97
CL00299,46-60,Moquegua,alto,0.99,11,1,0,0.0
CL00300,18-25,Moquegua,bajo,2.09,6,4,1,427.6
CL00301,60+,Huánuco,medio,0.89,3,4,1,897.26
CL00302,60+,Apurímac,alto,1.46,11,2,1,1338.25
CL00303,18-25,Amazonas,bajo,1.89,6,0,0,0.0
CL00304,60+,Lambayeque,medio,2.23,5,2,0,0.0
CL00305,36-45,Lambayeque,alto,2.85,4,3,0,0.0
CL00306,46-60,Ucayali,alto,3.2,5,2,1,241.85
CL00307,18-25,Lima,medio,3.88,1,1,0,0.0
CL00308,46-60,Huancavelica,bajo,4.1,7,0,0,0.0
CL00309,60+,San Martín,medio,3.69,2,3,1,918.27
CL00310,60+,Lima,medio,2.12,8,0,1,1296.68
CL00311,18-25,Lima,medio,2.73,4,4,0,0.0
CL00312,36-45,Arequipa,alto,1.94,9,1,1,351.63
CL00313,26-35,La Libertad,bajo,2.75,3,4,0,0.0
CL00314,18-25,Tumbes,bajo,2.34,3,2,0,0.0
CL00315,26-35,Lima,medio,1.36,3,1,1,915.18
CL00316,26-35,Junín,alto,3.95,4,3,0,0.0
CL00317,36-45,Lima,medio,4.21,3,3,1,869.53
CL00318,26-35,Tacna,alto,1.74,6,2,0,0.0
CL00319,26-35,Huancavelica,alto,3.02,7,2,0,0.0
CL00320,36-45,Lima,alto,1.79,5,3,1,494.94
CL00321,26-35,Tumbes,alto,2.42,5,3,1,1709.86
CL00322,26-35,Cajamarca,alto,1.97,6,4,1,996.17
CL00323,26-35,Madre de Dios,alto,1.87,4,0,0,0.0
CL00324,18-25,Lima,medio,2.69,2,4,1,550.19
CL00325,18-25,Lima,bajo,0.68,4,2,0,0.0
CL00326,18-25,Junín,bajo,1.98,8,2,1,966.55
CL00327,36-45,Ica,bajo,6.52,5,3,1,501.81
CL00328,60+,Lima,bajo,0.96,8,3,0,0.0
CL00329,26-35,Callao,bajo,2.12,4,1,0,0.0
CL00330,26-35,Lambayeque,alto,2.79,5,1,0,0.0
CL00331,36-45,Callao,medio,2.32,4,0,0,0.0
CL00332,26-35,Amazonas,medio,1.74,8,4,0,0.0
CL00333,18-25,Ucayali,medio,3.47,2,4,1,589.43
CL00334,60+,Lambayeque,medio,2.65,3,3,0,0.0
CL00335,46-60,Ucayali,bajo,1.88,3,2,1,120.31
CL00336,26-35,Ayacucho,alto,3.36,5,1,1,1606.32
CL00337,18-25,Lima,medio,1.97,4,0,0,0.0
CL00338,46-60,Callao,medio,1.63,5,2,1,1288.25
CL00339,60+,Pasco,bajo,3.09,9,3,1,695.36
CL00340,46-60,Pasco,medio,1.19,6,0,1,569.18
CL00341,18-25,Arequipa,alto,4.26,3,1,0,0.0
CL00342,46-60,Tacna,bajo,4.02,4,1,0,0.0
CL00343,36-45,Callao,alto,3.05,5,4,0,0.0
CL00344,46-60,Lima,bajo,1.92,5,1,1,117.7
CL00345,26-35,Ucayali,medio,1.43,9,1,1,718.86
CL00346,26-35,San Martín,alto,0.0,8,0,0,0.0
CL00347,36-45,Tumbes,alto,4.12,7,1,1,1335.33
CL00348,18-25,Ica,bajo,1.53,5,4,1,445.84
CL00349,26-35,Arequipa,bajo,2.85,3,2,1,976.98
CL00350,60+,Callao,medio,2.7,3,1,0,0.0
CL00351,26-35,Lima,bajo,0.83,9,3,1,184.35
CL00352,26-35,Pasco,medio,1.9,7,0,1,743.35
CL00353,18-25,Ayacucho,medio,1.37,7,1,1,506.51
CL00354,46-60,Lima,medio,3.29,5,0,1,677.36
CL00355,26-35,Ica,bajo,3.34,5,4,0,0.0
CL00356,36-45,Ica,medio,2.26,6,1,0,0.0
CL00357,46-60,Lima,alto,1.66,5,4,0,0.0
CL00358,60+,Lima,medio,2.69,3,1,1,183.52
CL00359,18-25,Pasco,medio,3.61,4,2,1,1256.08
CL00360,60+,Ayacucho,medio,1.02,4,4,1,623.79
CL00361,46-60,Pasco,bajo,4.61,5,3,0,0.0
CL00362,46-60,Apurímac,bajo,2.26,6,0,0,0.0
CL00363,46-60,Callao,medio,2.38,1,2,0,0.0
CL00364,60+,Lima,bajo,4.1,5,1,0,0.0
CL00365,46-60,Puno,medio,2.44,7,2,1,197.54
CL00366,60+,Huancavelica,medio,2.39,4,3,1,1284.05
CL00367,46-60,Ica,medio,1.59,8,0,0,0.0
CL00368,36-45,Lima,bajo,1.92,4,1,1,985.26
CL00369,46-60,Callao,medio,1.79,7,0,0,0.0
CL00370,60+,Pasco,medio,0.73,1,1,0,0.0
CL00371,26-35,Moquegua,bajo,0.42,4,4,0,0.0
CL00372,46-60,Ayacucho,bajo,2.27,5,0,1,579.17
CL00373,26-35,Lima,medio,1.12,5,4,1,942.56
CL00374,36-45,Moquegua,medio,3.15,6,2,0,0.0
CL00375,18-25,Ica,bajo,2.28,5,1,0,0.0
CL00376,36-45,Lima,bajo,0.9,2,1,0,0.0
CL00377,46-60,Áncash,bajo,4.02,5,3,1,132.56
CL00378,26-35,Lima,alto,2.07,6,0,0,0.0
CL00379,26-35,Ayacucho,medio,3.02,6,0,0,0.0
CL00380,60+,Piura,medio,4.14,4,4,1,375.68
CL00381,26-35,Junín,alto,2.47,3,1,1,422.43
CL00382,60+,Huánuco,medio,2.51,4,0,0,0.0
CL00383,18-25,Piura,medio,3.94,6,2,1,861.93
CL00384,46-60,Áncash,bajo,2.21,3,2,1,897.0
CL00385,60+,La Libertad,medio,3.57,5,3,1,453.9
CL00386,18-25,Junín,bajo,2.43,2,4,0,0.0
CL00387,26-35,Huánuco,medio,2.67,7,3,1,1024.74
CL00388,26-35,Tacna,bajo,2.66,4,4,0,0.0
CL00389,18-25,Moquegua,bajo,2.13,6,2,1,157.24
CL00390,26-35,Apurímac,bajo,1.97,7,4,1,487.92
CL00391,18-25,Loreto,medio,1.85,2,3,1,249.05
CL00392,60+,Lima,alto,1.2,2,1,0,0.0
CL00393,60+,San Martín,medio,2.05,6,0,0,0.0
CL00394,18-25,Ica,alto,2.23,4,0,0,0.0
CL00395,60+,Lima,medio,2.91,6,0,1,661.14
CL00396,60+,Lima,medio,2.41,1,3,0,0.0
CL00397,60+,Lima,bajo,3.58,2,1,0,0.0
CL00398,36-45,Lima,alto,3.53,7,3,0,0.0
CL00399,46-60,Callao,bajo,3.85,5,0,0,0.0
CL00400,26-35,Moquegua,medio,2.3,6,4,1,1040.88
CL00401,36-45,Lima,medio,1.99,7,1,1,415.55
CL00402,60+,Tumbes,medio,1.13,6,2,1,812.06
CL00403,18-25,Huancavelica,bajo,3.81,4,1,0,0.0
CL00404,60+,Lima,medio,1.35,7,4,0,0.0
CL00405,46-60,Tumbes,alto,1.6,3,2,1,412.41
CL00406,60+,Lima,alto,2.73,4,4,1,808.09
CL00407,18-25,Puno,alto,2.19,7,0,1,1502.47
CL00408,46-60,Piura,medio,3.95,3,4,1,1026.32
CL00409,60+,Junín,medio,1.73,5,3,0,0.0
CL00410,46-60,Lima,bajo,2.53,4,4,1,966.66
CL00411,26-35,Cajamarca,alto,0.65,4,2,1,673.23
CL00412,26-35,Lima,medio,3.73,6,2,0,0.0
CL00413,60+,Cusco,medio,0.82,7,4,1,1022.22
CL00414,46-60,Madre de Dios,alto,4.99,11,0,0,0.0
CL00415,18-25,Lima,medio,2.38,5,4,1,1149.52
CL00416,60+,Lambayeque,medio,2.21,8,2,0,0.0
CL00417,26-35,Huancavelica,bajo,2.47,8,3,1,467.16
CL00418,26-35,Ucayali,medio,1.43,4,2,1,787.43
CL00419,60+,Apurímac,alto,3.16,2,0,1,1054.0
CL00420,46-60,Áncash,medio,2.09,5,3,1,887.69
CL00421,26-35,Callao,bajo,2.19,5,2,0,0.0
CL00422,46-60,Ucayali,bajo,3.79,3,1,0,0.0
CL00423,26-35,Ucayali,medio,0.78,9,4,1,708.0
CL00424,26-35,Lima,medio,2.3,2,3,0,0.0
CL00425,36-45,San Martín,bajo,2.39,9,4,0,0.0
CL00426,26-35,Callao,medio,2.64,5,2,1,768.88
CL00427,18-25,Ucayali,medio,1.94,2,3,0,0.0
CL00428,60+,Ayacucho,medio,2.18,12,1,0,0.0
CL00429,60+,Arequipa,bajo,4.35,7,2,1,759.55
CL00430,46-60,Arequipa,medio,3.0,3,2,1,863.81
CL00431,26-35,Lima,medio,1.72,4,4,0,0.0
CL00432,18-25,Moquegua,medio,3.15,0,4,1,426.52
CL00433,46-60,Junín,alto,2.55,2,2,1,1109.21
CL00434,36-45,Ucayali,bajo,3.24,7,0,0,0.0
CL00435,46-60,Lambayeque,medio,2.3,3,1,0,0.0
CL00436,46-60,Ayacucho,medio,1.69,6,1,1,269.87
CL00437,26-35,Lima,medio,0.83,5,1,0,0.0
CL00438,36-45,Lima,medio,3.65,4,1,1,141.93
CL00439,46-60,Piura,bajo,3.18,3,1,1,465.21
CL00440,18-25,Lima,medio,2.86,5,2,1,193.17
CL00441,18-25,Lima,medio,3.15,3,0,0,0.0
CL00442,60+,Huancavelica,medio,3.74,6,2,1,590.48
